 Area = 3.14159265358979, perimetro = 6.28318530717959
 Area = 12.5663706143592, perimetro = 12.5663706143592
 Area = 28.2743338823081, perimetro = 18.8495559215388
 Area = 50.2654824574367, perimetro = 25.1327412287183
 Area = 78.5398163397448, perimetro = 31.4159265358979
 Area = 113.097335529233, perimetro = 37.6991118430775
 Area = 153.9380400259, perimetro = 43.9822971502571
 Area = 201.061929829747, perimetro = 50.2654824574367
 Area = 254.469004940773, perimetro = 56.5486677646163
 Area = 314.159265358979, perimetro = 62.8318530717959
 Area = 380.132711084365, perimetro = 69.1150383789755
 Area = 452.38934211693, perimetro = 75.398223686155
 Area = 530.929158456675, perimetro = 81.6814089933346
